# radial position[m]	 axial position[m]	 current[A]
0.118	0.408	7.16965
0.118	-0.408	7.16965
0.119	0.408	6.68381
0.119	-0.408	6.68381
0.12	0.408	6.19864
0.12	-0.408	6.19864
0.121	0.408	5.75307
0.121	-0.408	5.75307
0.122	0.408	5.37925
0.122	-0.408	5.37925
0.123	0.408	5.10098
0.123	-0.408	5.10098
0.124	0.408	4.93262
0.124	-0.408	4.93262
0.125	0.408	4.87852
0.125	-0.408	4.87852
0.126	0.408	4.93297
0.126	-0.408	4.93297
0.127	0.408	5.08063
0.127	-0.408	5.08063
0.128	0.408	5.29752
0.128	-0.408	5.29752
0.129	0.408	5.55238
0.129	-0.408	5.55238
0.13	0.408	5.80844
0.13	-0.408	5.80844
0.131	0.408	6.02553
0.131	-0.408	6.02553
0.132	0.408	6.16227
0.132	-0.408	6.16227
0.133	0.408	6.17849
0.133	-0.408	6.17849
0.134	0.408	6.03749
0.134	-0.408	6.03749
0.135	0.408	5.70827
0.135	-0.408	5.70827
0.136	0.408	5.16752
0.136	-0.408	5.16752
0.137	0.408	4.40123
0.137	-0.408	4.40123
0.138	0.408	3.40595
0.138	-0.408	3.40595
0.139	0.408	2.1896
0.139	-0.408	2.1896
0.14	0.408	0.771735
0.14	-0.408	0.771735
0.141	0.408	-0.816706
0.141	-0.408	-0.816706
0.142	0.408	-2.53413
0.142	-0.408	-2.53413
0.143	0.408	-4.32954
0.143	-0.408	-4.32954
0.144	0.408	-6.14426
0.144	-0.408	-6.14426
0.145	0.408	-7.91397
0.145	-0.408	-7.91397
0.146	0.408	-9.57112
0.146	-0.408	-9.57112
0.147	0.408	-11.0475
0.147	-0.408	-11.0475
0.148	0.408	-12.2769
0.148	-0.408	-12.2769
0.149	0.408	-13.1978
0.149	-0.408	-13.1978
0.15	0.408	-13.7559
0.15	-0.408	-13.7559
0.151	0.408	-13.9067
0.151	-0.408	-13.9067
0.152	0.408	-13.6172
0.152	-0.408	-13.6172
0.153	0.408	-12.8676
0.153	-0.408	-12.8676
0.154	0.408	-11.6526
0.154	-0.408	-11.6526
0.155	0.408	-9.98212
0.155	-0.408	-9.98212
0.156	0.408	-7.88123
0.156	-0.408	-7.88123
0.157	0.408	-5.38985
0.157	-0.408	-5.38985
0.158	0.408	-2.56177
0.158	-0.408	-2.56177
0.159	0.408	0.536761
0.159	-0.408	0.536761
0.16	0.408	3.82897
0.16	-0.408	3.82897
0.161	0.408	7.22977
0.161	-0.408	7.22977
0.162	0.408	10.6484
0.162	-0.408	10.6484
0.163	0.408	13.991
0.163	-0.408	13.991
0.164	0.408	17.1638
0.164	-0.408	17.1638
0.165	0.408	20.0755
0.165	-0.408	20.0755
0.166	0.408	22.6406
0.166	-0.408	22.6406
0.167	0.408	24.7814
0.167	-0.408	24.7814
0.168	0.408	26.4309
0.168	-0.408	26.4309
0.169	0.408	27.5342
0.169	-0.408	27.5342
0.17	0.408	28.0506
0.17	-0.408	28.0506
0.171	0.408	27.9541
0.171	-0.408	27.9541
0.172	0.408	27.2347
0.172	-0.408	27.2347
0.173	0.408	25.8982
0.173	-0.408	25.8982
0.174	0.408	23.9661
0.174	-0.408	23.9661
0.175	0.408	21.4746
0.175	-0.408	21.4746
0.176	0.408	18.4738
0.176	-0.408	18.4738
0.177	0.408	15.026
0.177	-0.408	15.026
0.178	0.408	11.204
0.178	-0.408	11.204
0.179	0.408	7.08894
0.179	-0.408	7.08894
0.18	0.408	2.76842
0.18	-0.408	2.76842
0.181	0.408	-1.66614
0.181	-0.408	-1.66614
0.182	0.408	-6.12159
0.182	-0.408	-6.12159
0.183	0.408	-10.5054
0.183	-0.408	-10.5054
0.184	0.408	-14.7276
0.184	-0.408	-14.7276
0.185	0.408	-18.7032
0.185	-0.408	-18.7032
0.186	0.408	-22.3535
0.186	-0.408	-22.3535
0.187	0.408	-25.6079
0.187	-0.408	-25.6079
0.188	0.408	-28.4051
0.188	-0.408	-28.4051
0.189	0.408	-30.6943
0.189	-0.408	-30.6943
0.19	0.408	-32.4353
0.19	-0.408	-32.4353
0.191	0.408	-33.5997
0.191	-0.408	-33.5997
0.192	0.408	-34.1703
0.192	-0.408	-34.1703
0.193	0.408	-34.1414
0.193	-0.408	-34.1414
0.194	0.408	-33.5181
0.194	-0.408	-33.5181
0.195	0.408	-32.3162
0.195	-0.408	-32.3162
0.196	0.408	-30.5607
0.196	-0.408	-30.5607
0.197	0.408	-28.2852
0.197	-0.408	-28.2852
0.198	0.408	-25.5311
0.198	-0.408	-25.5311
0.199	0.408	-22.346
0.199	-0.408	-22.346
0.2	0.408	-18.7826
0.2	-0.408	-18.7826
0.201	0.408	-14.8977
0.201	-0.408	-14.8977
0.202	0.408	-10.7508
0.202	-0.408	-10.7508
0.203	0.408	-6.40285
0.203	-0.408	-6.40285
0.204	0.408	-1.91545
0.204	-0.408	-1.91545
0.205	0.408	2.65054
0.205	-0.408	2.65054
0.206	0.408	7.23579
0.206	-0.408	7.23579
0.207	0.408	11.7833
0.207	-0.408	11.7833
0.208	0.408	16.2394
0.208	-0.408	16.2394
0.209	0.408	20.5539
0.209	-0.408	20.5539
0.21	0.408	24.6811
0.21	-0.408	24.6811
0.211	0.408	28.58
0.211	-0.408	28.58
0.212	0.408	32.2142
0.212	-0.408	32.2142
0.213	0.408	35.5529
0.213	-0.408	35.5529
0.214	0.408	38.5701
0.214	-0.408	38.5701
0.215	0.408	41.2452
0.215	-0.408	41.2452
0.216	0.408	43.5626
0.216	-0.408	43.5626
0.217	0.408	45.5118
0.217	-0.408	45.5118
0.218	0.408	47.0868
0.218	-0.408	47.0868
0.219	0.408	48.2861
0.219	-0.408	48.2861
0.22	0.408	49.1124
0.22	-0.408	49.1124
0.221	0.408	49.572
0.221	-0.408	49.572
0.222	0.408	49.6748
0.222	-0.408	49.6748
0.223	0.408	49.4335
0.223	-0.408	49.4335
0.224	0.408	48.8637
0.224	-0.408	48.8637
0.225	0.408	47.983
0.225	-0.408	47.983
0.226	0.408	46.811
0.226	-0.408	46.811
0.227	0.408	45.3688
0.227	-0.408	45.3688
0.228	0.408	43.6785
0.228	-0.408	43.6785
0.229	0.408	41.7632
0.229	-0.408	41.7632
0.23	0.408	39.6464
0.23	-0.408	39.6464
0.231	0.408	37.3517
0.231	-0.408	37.3517
0.232	0.408	34.903
0.232	-0.408	34.903
0.233	0.408	32.3234
0.233	-0.408	32.3234
0.234	0.408	29.636
0.234	-0.408	29.636
0.235	0.408	26.863
0.235	-0.408	26.863
0.236	0.408	24.0256
0.236	-0.408	24.0256
0.237	0.408	21.1443
0.237	-0.408	21.1443
0.238	0.408	18.2384
0.238	-0.408	18.2384
0.239	0.408	15.326
0.239	-0.408	15.326
0.24	0.408	12.4242
0.24	-0.408	12.4242
0.241	0.408	9.54848
0.241	-0.408	9.54848
0.242	0.408	6.71328
0.242	-0.408	6.71328
0.243	0.408	3.93164
0.243	-0.408	3.93164
0.244	0.408	1.21531
0.244	-0.408	1.21531
0.245	0.408	-1.42527
0.245	-0.408	-1.42527
0.246	0.408	-3.98089
0.246	-0.408	-3.98089
0.247	0.408	-6.44359
0.247	-0.408	-6.44359
0.248	0.408	-8.80659
0.248	-0.408	-8.80659
0.249	0.408	-11.0642
0.249	-0.408	-11.0642
0.25	0.408	-13.2119
0.25	-0.408	-13.2119
0.251	0.408	-15.2461
0.251	-0.408	-15.2461
0.252	0.408	-17.1642
0.252	-0.408	-17.1642
0.253	0.408	-18.9644
0.253	-0.408	-18.9644
0.254	0.408	-20.6458
0.254	-0.408	-20.6458
0.255	0.408	-22.2082
0.255	-0.408	-22.2082
0.256	0.408	-23.6523
0.256	-0.408	-23.6523
0.257	0.408	-24.979
0.257	-0.408	-24.979
0.258	0.408	-26.1902
0.258	-0.408	-26.1902
0.259	0.408	-27.288
0.259	-0.408	-27.288
0.26	0.408	-28.275
0.26	-0.408	-28.275
0.261	0.408	-29.1542
0.261	-0.408	-29.1542
0.262	0.408	-29.929
0.262	-0.408	-29.929
0.263	0.408	-30.603
0.263	-0.408	-30.603
0.264	0.408	-31.1799
0.264	-0.408	-31.1799
0.265	0.408	-31.6639
0.265	-0.408	-31.6639
0.266	0.408	-32.0591
0.266	-0.408	-32.0591
0.267	0.408	-32.3696
0.267	-0.408	-32.3696
0.268	0.408	-32.5999
0.268	-0.408	-32.5999
0.269	0.408	-32.7543
0.269	-0.408	-32.7543
0.27	0.408	-32.8371
0.27	-0.408	-32.8371
0.271	0.408	-32.8528
0.271	-0.408	-32.8528
0.272	0.408	-32.8056
0.272	-0.408	-32.8056
0.273	0.408	-32.6997
0.273	-0.408	-32.6997
0.274	0.408	-32.5394
0.274	-0.408	-32.5394
0.275	0.408	-32.3286
0.275	-0.408	-32.3286
0.276	0.408	-32.0714
0.276	-0.408	-32.0714
0.277	0.408	-31.7716
0.277	-0.408	-31.7716
0.278	0.408	-31.433
0.278	-0.408	-31.433
0.279	0.408	-31.0589
0.279	-0.408	-31.0589
0.28	0.408	-30.653
0.28	-0.408	-30.653
0.281	0.408	-30.2185
0.281	-0.408	-30.2185
0.282	0.408	-29.7586
0.282	-0.408	-29.7586
0.283	0.408	-29.2761
0.283	-0.408	-29.2761
0.284	0.408	-28.774
0.284	-0.408	-28.774
0.285	0.408	-28.2549
0.285	-0.408	-28.2549
0.286	0.408	-27.7214
0.286	-0.408	-27.7214
0.287	0.408	-27.1757
0.287	-0.408	-27.1757
0.288	0.408	-26.6203
0.288	-0.408	-26.6203
0.289	0.408	-26.057
0.289	-0.408	-26.057
0.29	0.408	-25.488
0.29	-0.408	-25.488
0.291	0.408	-24.9149
0.291	-0.408	-24.9149
0.292	0.408	-24.3395
0.292	-0.408	-24.3395
0.293	0.408	-23.7633
0.293	-0.408	-23.7633
0.294	0.408	-23.1878
0.294	-0.408	-23.1878
0.295	0.408	-22.6142
0.295	-0.408	-22.6142
0.296	0.408	-22.0438
0.296	-0.408	-22.0438
0.297	0.408	-21.4777
