# radial position[m]	 axial position[m]	 current[A]
0.09	0.408	4.67156
0.09	-0.408	4.67156
0.091	0.408	0.347332
0.091	-0.408	0.347332
0.092	0.408	-3.77708
0.092	-0.408	-3.77708
0.093	0.408	-7.61115
0.093	-0.408	-7.61115
0.094	0.408	-11.0736
0.094	-0.408	-11.0736
0.095	0.408	-14.094
0.095	-0.408	-14.094
0.096	0.408	-16.6144
0.096	-0.408	-16.6144
0.097	0.408	-18.5901
0.097	-0.408	-18.5901
0.098	0.408	-19.9906
0.098	-0.408	-19.9906
0.099	0.408	-20.8
0.099	-0.408	-20.8
0.1	0.408	-21.0169
0.1	-0.408	-21.0169
0.101	0.408	-20.654
0.101	-0.408	-20.654
0.102	0.408	-19.7377
0.102	-0.408	-19.7377
0.103	0.408	-18.307
0.103	-0.408	-18.307
0.104	0.408	-16.412
0.104	-0.408	-16.412
0.105	0.408	-14.1128
0.105	-0.408	-14.1128
0.106	0.408	-11.4777
0.106	-0.408	-11.4777
0.107	0.408	-8.58095
0.107	-0.408	-8.58095
0.108	0.408	-5.50134
0.108	-0.408	-5.50134
0.109	0.408	-2.31987
0.109	-0.408	-2.31987
0.11	0.408	0.882201
0.11	-0.408	0.882201
0.111	0.408	4.02532
0.111	-0.408	4.02532
0.112	0.408	7.03354
0.112	-0.408	7.03354
0.113	0.408	9.83623
0.113	-0.408	9.83623
0.114	0.408	12.3697
0.114	-0.408	12.3697
0.115	0.408	14.5784
0.115	-0.408	14.5784
0.116	0.408	16.4164
0.116	-0.408	16.4164
0.117	0.408	17.8478
0.117	-0.408	17.8478
0.118	0.408	18.8476
0.118	-0.408	18.8476
0.119	0.408	19.4021
0.119	-0.408	19.4021
0.12	0.408	19.5084
0.12	-0.408	19.5084
0.121	0.408	19.175
0.121	-0.408	19.175
0.122	0.408	18.4205
0.122	-0.408	18.4205
0.123	0.408	17.2733
0.123	-0.408	17.2733
0.124	0.408	15.7704
0.124	-0.408	15.7704
0.125	0.408	13.9567
0.125	-0.408	13.9567
0.126	0.408	11.883
0.126	-0.408	11.883
0.127	0.408	9.6052
0.127	-0.408	9.6052
0.128	0.408	7.18259
0.128	-0.408	7.18259
0.129	0.408	4.67626
0.129	-0.408	4.67626
0.13	0.408	2.14769
0.13	-0.408	2.14769
0.131	0.408	-0.342827
0.131	-0.408	-0.342827
0.132	0.408	-2.73752
0.132	-0.408	-2.73752
0.133	0.408	-4.98251
0.133	-0.408	-4.98251
0.134	0.408	-7.02894
0.134	-0.408	-7.02894
0.135	0.408	-8.83402
0.135	-0.408	-8.83402
0.136	0.408	-10.3619
0.136	-0.408	-10.3619
0.137	0.408	-11.5841
0.137	-0.408	-11.5841
0.138	0.408	-12.4803
0.138	-0.408	-12.4803
0.139	0.408	-13.0383
0.139	-0.408	-13.0383
0.14	0.408	-13.2542
0.14	-0.408	-13.2542
0.141	0.408	-13.1321
0.141	-0.408	-13.1321
0.142	0.408	-12.6838
0.142	-0.408	-12.6838
0.143	0.408	-11.9284
0.143	-0.408	-11.9284
0.144	0.408	-10.8912
0.144	-0.408	-10.8912
0.145	0.408	-9.60359
0.145	-0.408	-9.60359
0.146	0.408	-8.1014
0.146	-0.408	-8.1014
0.147	0.408	-6.42435
0.147	-0.408	-6.42435
0.148	0.408	-4.61486
0.148	-0.408	-4.61486
0.149	0.408	-2.71699
0.149	-0.408	-2.71699
0.15	0.408	-0.775366
0.15	-0.408	-0.775366
0.151	0.408	1.16588
0.151	-0.408	1.16588
0.152	0.408	3.06405
0.152	-0.408	3.06405
0.153	0.408	4.87886
0.153	-0.408	4.87886
0.154	0.408	6.57319
0.154	-0.408	6.57319
0.155	0.408	8.11387
0.155	-0.408	8.11387
0.156	0.408	9.4722
0.156	-0.408	9.4722
0.157	0.408	10.6245
0.157	-0.408	10.6245
0.158	0.408	11.5523
0.158	-0.408	11.5523
0.159	0.408	12.2426
0.159	-0.408	12.2426
0.16	0.408	12.6881
0.16	-0.408	12.6881
0.161	0.408	12.8868
0.161	-0.408	12.8868
0.162	0.408	12.8421
0.162	-0.408	12.8421
0.163	0.408	12.5622
0.163	-0.408	12.5622
0.164	0.408	12.06
0.164	-0.408	12.06
0.165	0.408	11.3524
0.165	-0.408	11.3524
0.166	0.408	10.46
0.166	-0.408	10.46
0.167	0.408	9.40618
0.167	-0.408	9.40618
0.168	0.408	8.21671
0.168	-0.408	8.21671
0.169	0.408	6.91901
0.169	-0.408	6.91901
0.17	0.408	5.54152
0.17	-0.408	5.54152
0.171	0.408	4.11307
0.171	-0.408	4.11307
0.172	0.408	2.66227
0.172	-0.408	2.66227
0.173	0.408	1.21698
0.173	-0.408	1.21698
0.174	0.408	-0.196285
0.174	-0.408	-0.196285
0.175	0.408	-1.55272
0.175	-0.408	-1.55272
0.176	0.408	-2.82969
0.176	-0.408	-2.82969
0.177	0.408	-4.007
0.177	-0.408	-4.007
0.178	0.408	-5.0672
0.178	-0.408	-5.0672
0.179	0.408	-5.99572
0.179	-0.408	-5.99572
0.18	0.408	-6.78098
0.18	-0.408	-6.78098
0.181	0.408	-7.41449
0.181	-0.408	-7.41449
0.182	0.408	-7.89074
0.182	-0.408	-7.89074
0.183	0.408	-8.20718
0.183	-0.408	-8.20718
0.184	0.408	-8.36406
0.184	-0.408	-8.36406
0.185	0.408	-8.36429
0.185	-0.408	-8.36429
0.186	0.408	-8.21316
0.186	-0.408	-8.21316
0.187	0.408	-7.91813
0.187	-0.408	-7.91813
0.188	0.408	-7.48859
0.188	-0.408	-7.48859
0.189	0.408	-6.93551
0.189	-0.408	-6.93551
0.19	0.408	-6.2712
0.19	-0.408	-6.2712
0.191	0.408	-5.50899
0.191	-0.408	-5.50899
0.192	0.408	-4.66295
0.192	-0.408	-4.66295
0.193	0.408	-3.74759
0.193	-0.408	-3.74759
0.194	0.408	-2.77764
0.194	-0.408	-2.77764
0.195	0.408	-1.76774
0.195	-0.408	-1.76774
0.196	0.408	-0.73228
0.196	-0.408	-0.73228
0.197	0.408	0.314865
0.197	-0.408	0.314865
0.198	0.408	1.36047
0.198	-0.408	1.36047
0.199	0.408	2.39211
0.199	-0.408	2.39211
0.2	0.408	3.39831
0.2	-0.408	3.39831
0.201	0.408	4.36864
0.201	-0.408	4.36864
0.202	0.408	5.29375
0.202	-0.408	5.29375
0.203	0.408	6.16545
0.203	-0.408	6.16545
0.204	0.408	6.97675
0.204	-0.408	6.97675
0.205	0.408	7.72181
0.205	-0.408	7.72181
0.206	0.408	8.39598
0.206	-0.408	8.39598
0.207	0.408	8.99573
0.207	-0.408	8.99573
0.208	0.408	9.51864
0.208	-0.408	9.51864
0.209	0.408	9.9633
0.209	-0.408	9.9633
0.21	0.408	10.3293
0.21	-0.408	10.3293
0.211	0.408	10.617
0.211	-0.408	10.617
0.212	0.408	10.8278
0.212	-0.408	10.8278
0.213	0.408	10.9637
0.213	-0.408	10.9637
0.214	0.408	11.0272
0.214	-0.408	11.0272
0.215	0.408	11.0215
0.215	-0.408	11.0215
0.216	0.408	10.9503
0.216	-0.408	10.9503
0.217	0.408	10.8177
0.217	-0.408	10.8177
0.218	0.408	10.6279
0.218	-0.408	10.6279
0.219	0.408	10.3855
0.219	-0.408	10.3855
0.22	0.408	10.0952
0.22	-0.408	10.0952
0.221	0.408	9.76189
0.221	-0.408	9.76189
0.222	0.408	9.39031
0.222	-0.408	9.39031
0.223	0.408	8.9853
0.223	-0.408	8.9853
0.224	0.408	8.55161
0.224	-0.408	8.55161
0.225	0.408	8.09385
0.225	-0.408	8.09385
0.226	0.408	7.61649
0.226	-0.408	7.61649
0.227	0.408	7.12382
0.227	-0.408	7.12382
0.228	0.408	6.61991
0.228	-0.408	6.61991
0.229	0.408	6.10862
0.229	-0.408	6.10862
0.23	0.408	5.59356
0.23	-0.408	5.59356
0.231	0.408	5.07806
0.231	-0.408	5.07806
0.232	0.408	4.56522
0.232	-0.408	4.56522
0.233	0.408	4.05785
0.233	-0.408	4.05785
0.234	0.408	3.55852
0.234	-0.408	3.55852
0.235	0.408	3.06949
0.235	-0.408	3.06949
0.236	0.408	2.59282
0.236	-0.408	2.59282
0.237	0.408	2.13026
0.237	-0.408	2.13026
0.238	0.408	1.68336
0.238	-0.408	1.68336
0.239	0.408	1.25341
0.239	-0.408	1.25341
0.24	0.408	0.841497
0.24	-0.408	0.841497
0.241	0.408	0.448488
0.241	-0.408	0.448488
0.242	0.408	0.0750585
0.242	-0.408	0.0750585
0.243	0.408	-0.278299
0.243	-0.408	-0.278299
0.244	0.408	-0.61126
0.244	-0.408	-0.61126
0.245	0.408	-0.923655
0.245	-0.408	-0.923655
0.246	0.408	-1.21545
0.246	-0.408	-1.21545
0.247	0.408	-1.48675
0.247	-0.408	-1.48675
0.248	0.408	-1.73777
0.248	-0.408	-1.73777
0.249	0.408	-1.96881
0.249	-0.408	-1.96881
0.25	0.408	-2.18028
0.25	-0.408	-2.18028
0.251	0.408	-2.37267
0.251	-0.408	-2.37267
0.252	0.408	-2.5465
0.252	-0.408	-2.5465
0.253	0.408	-2.7024
0.253	-0.408	-2.7024
0.254	0.408	-2.84101
0.254	-0.408	-2.84101
0.255	0.408	-2.96302
0.255	-0.408	-2.96302
0.256	0.408	-3.06914
0.256	-0.408	-3.06914
0.257	0.408	-3.16011
0.257	-0.408	-3.16011
0.258	0.408	-3.23669
0.258	-0.408	-3.23669
0.259	0.408	-3.29964
0.259	-0.408	-3.29964
0.26	0.408	-3.34972
0.26	-0.408	-3.34972
0.261	0.408	-3.3877
0.261	-0.408	-3.3877
0.262	0.408	-3.41434
0.262	-0.408	-3.41434
0.263	0.408	-3.43037
0.263	-0.408	-3.43037
0.264	0.408	-3.43653
0.264	-0.408	-3.43653
0.265	0.408	-3.43354
0.265	-0.408	-3.43354
0.266	0.408	-3.42209
0.266	-0.408	-3.42209
0.267	0.408	-3.40285
0.267	-0.408	-3.40285
0.268	0.408	-3.37648
0.268	-0.408	-3.37648
0.269	0.408	-3.3436
0.269	-0.408	-3.3436
0.27	0.408	-3.30481
0.27	-0.408	-3.30481
